ParkName,State,Country,Adult,Child,partySize,RateType,BookingType,Equipment,BookingStartDate,BookingEnddate,Night,Permits
Dollar Lake,NS ,CANADA ,2,,2,Senior,CampsitePermit,Less than 20ft,9/21/2016,9/25/2016,4,1
Thomas Raddall,QC ,CANADA ,1,,1,Senior,CampsitePermit,Less than 30ft,8/1/2016,8/6/2016,5,1
Amherst Shore,NS ,CANADA ,2,,2,Full,CampsitePermit,Tents,9/16/2016,9/18/2016,2,1
Caribou Munroes,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,8/26/2016,8/28/2016,2,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 40ft,7/29/2016,7/31/2016,2,1
Five Islands,NS ,CANADA ,2,,2,Full,CampsitePermit,Less than 20ft,7/29/2016,8/1/2016,3,1
Graves Island,NS ,CANADA ,5,,5,Full,CampsitePermit,Single Tent,8/11/2016,8/12/2016,1,1
Rissers Beach,NS ,CANADA ,2,1,3,Full,CampsitePermit,Less than 30ft,8/7/2016,8/13/2016,6,1
Laurie,NS ,CANADA ,1,2,3,Full,CampsitePermit,Single Tent,7/12/2016,7/14/2016,2,1
Smileys,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,8/19/2016,8/20/2016,1,1
Caribou Munroes,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/18/2016,7/20/2016,2,1
Laurie,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,7/22/2016,7/24/2016,2,1
Smileys,NS ,CANADA ,4,,4,Full,CampsitePermit,Tents,7/30/2016,7/31/2016,1,1
Rissers Beach,NS ,CANADA ,2,4,6,Full,CampsitePermit,Tents,8/19/2016,8/20/2016,1,1
Amherst Shore,SK ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,9/20/2016,9/21/2016,1,1
Salsman,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/24/2016,7/26/2016,2,1
Blomidon,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,5/20/2016,5/23/2016,3,1
Ellenwood Lake,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/12/2016,7/17/2016,5,1
Thomas Raddall,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,9/2/2016,9/5/2016,3,1
Rissers Beach,NS ,CANADA ,1,,1,Full,CampsitePermit,Single Tent,6/4/2016,6/5/2016,1,1
Thomas Raddall,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,9/9/2016,9/11/2016,2,1
Amherst Shore,QC ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,7/21/2016,7/22/2016,1,1
Dollar Lake,NS ,CANADA ,2,,2,Full,CampsitePermit,Single Tent,8/6/2016,8/7/2016,1,1
Smileys,NS ,CANADA ,2,1,3,Full,CampsitePermit,Single Tent,6/17/2016,6/19/2016,2,1
Battery,ON ,CANADA ,2,,2,Full,CampsitePermit,Less than 30ft,8/10/2016,8/11/2016,1,1
Graves Island,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,6/24/2016,6/26/2016,2,1
Caribou Munroes,ON ,CANADA ,1,,1,Senior,CampsitePermit,Less than 20ft,6/27/2016,6/28/2016,1,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Single Tent,7/29/2016,7/31/2016,2,1
Mira River,NS ,CANADA ,2,2,4,Full,CampsitePermit,Less than 20ft,6/30/2016,7/2/2016,2,1
Graves Island,ON ,CANADA ,1,,1,Senior,CampsitePermit,Single Tent,7/19/2016,7/20/2016,1,1
Rissers Beach,NS ,CANADA ,2,3,5,Full,CampsitePermit,Less than 30ft,6/10/2016,6/12/2016,2,1
Dollar Lake,NS ,CANADA ,4,2,6,Full,CampsitePermit,Less than 20ft,7/13/2016,7/16/2016,3,1
Rissers Beach,NS ,CANADA ,2,3,5,Full,CampsitePermit,Single Tent,6/27/2016,6/28/2016,1,1
