ParkName,State,partySize,RateType,BookingType,Equipment,
Dollar Lake,NS,2,Senior,CampsitePermit,Less than 20ft,
Thomas Raddall,QC,1,Senior,CampsitePermit,Less than 30ft,
Amherst Shore,NS,2,Full,CampsitePermit,Tents,
Caribou Munroes,NS,4,Full,CampsitePermit,Less than 20ft,
Salsman,NS,2,Full,CampsitePermit,Less than 40ft,
Five Islands,NS,2,Full,CampsitePermit,Less than 20ft,
Graves Island,NS,5,Full,CampsitePermit,Single Tent,
Rissers Beach,NS,3,Full,CampsitePermit,Less than 30ft,
Laurie,NS,3,Full,CampsitePermit,Single Tent,
Smileys,NS,3,Full,CampsitePermit,Single Tent,
Caribou Munroes,NS,4,Full,CampsitePermit,Single Tent,
Laurie,NS,1,Full,CampsitePermit,Single Tent,
Smileys,NS,4,Full,CampsitePermit,Tents,
Rissers Beach,NS,6,Full,CampsitePermit,Tents,
Amherst Shore,SK,1,Full,CampsitePermit,Single Tent,
Salsman,NS,2,Full,CampsitePermit,Single Tent,
Blomidon,NS,2,Full,CampsitePermit,Single Tent,
Ellenwood Lake,NS,4,Full,CampsitePermit,Single Tent,
Thomas Raddall,NS,4,Full,CampsitePermit,Single Tent,
Rissers Beach,NS,1,Full,CampsitePermit,Single Tent,
Thomas Raddall,NS,3,Full,CampsitePermit,Single Tent,
Amherst Shore,QC,2,Full,CampsitePermit,Single Tent,
Dollar Lake,NS,2,Full,CampsitePermit,Single Tent,
Smileys,NS,3,Full,CampsitePermit,Single Tent,
Battery,ON,2,Full,CampsitePermit,Less than 30ft,
Graves Island,NS,4,Full,CampsitePermit,Single Tent,
Caribou Munroes,ON,1,Senior,CampsitePermit,Less than 20ft,
Mira River,NS,4,Full,CampsitePermit,Single Tent,
Mira River,NS,4,Full,CampsitePermit,Less than 20ft,
Graves Island,ON,1,Senior,CampsitePermit,Single Tent,
Rissers Beach,NS,5,Full,CampsitePermit,Less than 30ft,
Dollar Lake,NS,6,Full,CampsitePermit,Less than 20ft,
Rissers Beach,NS,5,Full,CampsitePermit,Single Tent,
Graves Island,ON,3,Full,CampsitePermit,Less than 30ft,
Blomidon,NS,2,Full,CampsitePermit,Single Tent,
Whycocomagh,NS,2,Full,CampsitePermit,Single Tent,
Caribou Munroes,NS,2,Full,CampsitePermit,Less than 20ft,
Five Islands,PE,2,Full,CampsitePermit,Single Tent,
Mira River,NS,4,Full,CampsitePermit,Less than 30ft,
Five Islands,ON,4,Full,CampsitePermit,Single Tent,
Smileys,PE,4,Full,CampsitePermit,Less than 30ft,
Porters Lake,NS,3,Full,CampsitePermit,Single Tent,
Graves Island,NS,3,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,NS,3,Full,CampsitePermit,Tents,
Dollar Lake,NS,4,Full,CampsitePermit,Single Tent,
Thomas Raddall,NS,6,Full,CampsitePermit,Tents,
Graves Island,NB,1,Full,CampsitePermit,Single Tent,
Rissers Beach,BC,2,Senior,CampsitePermit,Less than 20ft,
Graves Island,NS,5,Full,CampsitePermit,Less than 30ft,
Caribou Munroes,NB,4,Full,CampsitePermit,Single Tent,
Battery,NS,2,Full,CampsitePermit,Single Tent,
Graves Island,NS,4,Full,CampsitePermit,Less than 20ft,
Mira River,NS,2,Full,CampsitePermit,Single Tent,
Mira River,NS,2,Full,CampsitePermit,Less than 30ft,
Battery,AB,2,Full,CampsitePermit,Less than 30ft,
Amherst Shore,BC,1,Full,CampsitePermit,Single Tent,
Graves Island,NS,3,Full,CampsitePermit,Single Tent,
